date,hour,minute,dep,arr,dep_delay,arr_delay,carrier,flight,dest,plane,cancelled,time,dist
2011/12/9,10,38,1038,1348,8,-6,XE,4366,CLT,N11113,0,111,912
2011/12/9,21,23,2123,2220,-2,2,XE,4536,LFT,N11107,0,34,201
2011/12/9,12,58,1258,1432,-2,-5,XE,4656,BHM,N11106,0,74,562
2011/12/9,15,56,1556,1727,-4,-11,XE,4657,BHM,N11107,0,73,562
2011/12/10,10,25,1025,1347,-5,-5,XE,4366,CLT,N11107,0,111,912
2011/12/10,17,8,1708,2011,18,-1,XE,4473,CLT,N11107,0,111,912
2011/12/10,16,42,1642,2029,22,17,XE,4502,PIT,N11113,0,145,1117
2011/12/10,11,2,1102,1401,30,18,XE,4694,CAE,N11113,0,99,878
2011/12/11,21,16,2116,2226,-4,-2,XE,4259,HRL,N11113,0,49,295
2011/12/11,15,45,1545,1719,0,-10,XE,4331,HSV,N11107,0,79,595
2011/12/11,12,51,1251,1503,21,45,XE,4671,BNA,N11106,0,84,657
2011/12/12,7,37,737,931,-3,-7,XE,4183,PHX,N11113,0,161,1009
2011/12/12,13,30,1330,1713,0,-3,XE,4332,RIC,N11121,0,143,1157
2011/12/12,NA,NA,NA,NA,NA,NA,XE,4342,LRD,N11121,1,NA,301
2011/12/12,10,18,1018,1348,-7,-22,XE,4515,RDU,N11107,0,132,1042
2011/12/12,21,27,2127,2212,22,14,XE,4551,SHV,N11106,0,31,192
2011/12/12,20,5,2005,2129,40,32,XE,4554,XNA,N11107,0,67,438
2011/12/12,14,28,1428,1743,8,0,XE,4563,CRW,N11109,0,118,975
2011/12/12,7,16,716,1057,-4,-16,XE,4602,DTW,N11109,0,138,1075
2011/12/12,NA,NA,NA,NA,NA,NA,XE,4681,HOB,N11107,1,NA,501
2011/12/13,20,49,2049,2233,64,49,XE,4121,MCI,N11106,0,90,643
2011/12/13,14,31,1431,1725,-4,-10,XE,4125,JAX,N10156,0,98,817
2011/12/13,19,33,1933,2238,23,27,XE,4386,TYS,N11113,0,97,771
2011/12/13,16,6,1606,1759,11,5,XE,4494,MCI,N11107,0,93,643
2011/12/13,20,29,2029,2328,19,11,XE,4601,GSP,N11121,0,103,837
2011/12/13,7,16,716,1104,-4,-9,XE,4602,DTW,N10156,0,135,1075
2011/12/13,12,47,1247,1444,-3,-16,XE,4706,CID,N11119,0,105,845
2011/12/14,14,29,1429,1535,-6,-16,XE,4094,ABQ,N11119,0,110,744
2011/12/14,14,20,1420,1719,5,-5,XE,4151,LEX,N11109,0,100,828
2011/12/14,7,19,719,1051,-1,-3,XE,4163,RDU,N11109,0,129,1042
2011/12/14,19,52,1952,2048,0,-14,XE,4234,BTR,N11109,0,39,253
2011/12/14,16,7,1607,1742,22,13,XE,4331,HSV,N11113,0,80,595
2011/12/14,20,8,2008,2320,17,13,XE,4345,CHS,N11119,0,112,925
2011/12/14,8,3,803,1033,-2,-26,XE,4455,MSP,N11121,0,131,1034
2011/12/14,7,11,711,1046,-4,-18,XE,4501,PIT,N11119,0,140,1117
2011/12/15,17,47,1747,2039,-3,-11,XE,4108,ATL,N11113,0,89,689
2011/12/15,16,12,1612,1741,-3,-11,XE,4116,BHM,N11121,0,73,562
2011/12/15,13,0,1300,1512,10,12,XE,4150,CID,N11107,0,105,845
2011/12/15,8,4,804,1041,-2,-21,XE,4262,MSP,N11109,0,128,1034
2011/12/15,21,23,2123,2308,-2,3,XE,4310,GJT,N11119,0,141,979
2011/12/15,22,15,2215,2329,60,62,XE,4357,LRD,N11121,0,56,301
2011/12/15,10,25,1025,1401,10,0,XE,4398,PIT,N10156,0,134,1117
2011/12/15,16,20,1620,1758,0,4,XE,4439,VPS,N11119,0,78,528
2011/12/15,18,10,1810,2123,-5,-13,XE,4634,CLT,N10156,0,111,912
2011/12/15,11,53,1153,1327,28,22,XE,4647,TUS,N11113,0,131,936
2011/12/16,21,24,2124,2250,-1,6,XE,4086,ABQ,N11106,0,104,744
2011/12/16,21,23,2123,2244,-2,6,XE,4135,BRO,N11121,0,55,308
2011/12/16,21,36,2136,100,116,127,XE,4148,CHS,N10156,0,108,925
2011/12/16,19,16,1916,2153,1,28,XE,4151,CID,N11107,0,116,845
2011/12/16,10,25,1025,1234,10,21,XE,4291,STL,N11119,0,91,667
2011/12/16,16,1,1601,NA,11,NA,XE,4353,LFT,N11109,0,NA,201
2011/12/16,7,9,709,904,-1,-9,XE,4656,PHX,N11121,0,154,1009
2011/12/16,13,57,1357,1731,5,0,XE,4657,RIC,N11121,0,133,1157
2011/12/16,16,3,1603,1738,103,119,XE,4696,ABQ,N10156,0,112,744
2011/12/17,12,21,1221,1413,1,-7,XE,4256,MCI,N11106,0,95,643
2011/12/17,10,56,1056,1236,86,65,XE,4282,PHX,N11109,0,145,1009
2011/12/17,20,28,2028,2112,-2,-14,XE,4304,LFT,N11121,0,33,201
2011/12/17,16,6,1606,1716,-4,-6,XE,4314,GPT,N10156,0,54,376
2011/12/17,18,9,1809,1840,-6,0,XE,4324,HOB,N11109,0,72,501
2011/12/17,7,17,717,1042,2,0,XE,4407,RDU,N11121,0,120,1042
2011/12/17,21,17,2117,2233,-3,-16,XE,4431,TUL,N11107,0,62,429
2011/12/17,19,41,1941,2130,-4,-8,XE,4674,BNA,N10156,0,85,657
2011/12/17,13,55,1355,1651,9,18,XE,4707,MSP,N11121,0,154,1034
2011/12/18,9,54,954,1141,-6,-15,XE,4291,STL,N11121,0,95,667
2011/12/18,10,22,1022,1407,7,8,XE,4398,PIT,N11109,0,149,1117
2011/12/18,8,49,849,1055,-1,-9,XE,4635,OMA,N11107,0,104,781
2011/12/18,11,41,1141,1418,11,1,XE,4712,MSP,N11106,0,137,1034
2011/12/19,20,39,2039,2356,29,33,XE,4148,CHS,N11121,0,110,925
2011/12/19,10,0,1000,1254,-5,-12,XE,4253,JAX,N11109,0,96,817
2011/12/19,10,38,1038,1412,13,6,XE,4408,RIC,N11113,0,140,1157
2011/12/19,12,52,1252,1444,2,-34,XE,4416,SLC,N11121,0,159,1195
2011/12/19,15,42,1542,1653,20,19,XE,4628,LRD,N10156,0,53,301
2011/12/19,10,50,1050,1354,-5,-26,XE,4698,CHS,N11119,0,113,925
2011/12/19,19,30,1930,2224,35,25,XE,4701,SAV,N10156,0,100,851
2011/12/19,7,27,727,1121,-3,-6,XE,4702,IAD,N10156,0,154,1190
2011/12/19,9,57,957,1245,-3,-16,XE,4706,ATL,N11106,0,89,689
2011/12/20,12,48,1248,1459,-2,-1,XE,4150,CID,N11107,0,112,845
2011/12/20,19,12,1912,2129,-3,4,XE,4151,CID,N11107,0,109,845
2011/12/20,18,23,1823,2000,-8,-17,XE,4336,ICT,N11119,0,74,542
2011/12/20,8,47,847,1042,-3,-24,XE,4635,OMA,N11121,0,97,781
2011/12/21,14,32,1432,1729,7,8,XE,4232,JAX,N11113,0,97,817
2011/12/21,21,27,2127,2312,2,7,XE,4310,GJT,N11107,0,143,979
2011/12/21,15,27,1527,1815,0,-20,XE,4350,LEX,N10156,0,95,828
2011/12/21,8,44,844,1051,-6,-15,XE,4635,OMA,N11121,0,103,781
2011/12/21,7,14,714,1100,4,27,XE,4653,CLT,N11113,0,121,912
2011/12/21,10,40,1040,1633,5,NA,XE,4690,GRR,N11119,0,NA,1042
2011/12/21,19,35,1935,2246,40,47,XE,4701,SAV,N11119,0,97,851
2011/12/22,12,1,1201,1422,11,-3,MQ,3796,ORD,N0EGMQ,0,116,925
2011/12/22,22,14,2214,2309,49,50,XE,4088,AEX,N11106,0,43,190
2011/12/22,15,47,1547,1702,33,25,XE,4208,COS,N11113,0,117,809
2011/12/22,11,10,1110,1145,5,15,XE,4323,HOB,N11113,0,79,501
2011/12/22,17,35,1735,1919,5,-2,XE,4681,BNA,N11107,0,82,657
2011/12/23,15,53,1553,1821,-7,-19,MQ,3786,ORD,N0EGMQ,0,123,925
2011/12/23,16,12,1612,1737,-3,-15,XE,4116,BHM,N11121,0,68,562
2011/12/23,16,32,1632,1933,-3,-23,XE,4200,CLT,N10156,0,107,912
2011/12/23,14,26,1426,1732,1,11,XE,4232,JAX,N11107,0,95,817
2011/12/23,12,16,1216,1402,-4,-19,XE,4256,MCI,N11109,0,89,643
2011/12/23,7,27,727,850,-3,4,XE,4311,GPT,N11109,0,55,376
2011/12/23,10,19,1019,1325,9,14,XE,4507,ATL,N11121,0,89,689
2011/12/23,10,20,1020,1339,0,11,XE,4651,CAE,N10156,0,104,878
2011/12/23,19,36,1936,2139,6,14,XE,4674,BNA,N11113,0,81,657
2011/12/23,7,25,725,902,0,-15,XE,4676,BNA,N11106,0,76,657
2011/12/23,11,26,1126,1413,-4,-6,XE,4712,MSP,N11113,0,143,1034
2011/12/24,15,54,1554,1908,19,18,XE,4248,IND,N11113,0,101,844
2011/12/24,14,35,1435,1757,20,19,XE,4491,PBI,N11106,0,124,956
2011/12/24,8,46,846,1054,6,0,XE,4635,OMA,N11106,0,104,781
2011/12/24,7,19,719,856,-6,-19,XE,4676,BNA,N11121,0,75,657
2011/12/25,21,32,2132,2238,7,0,XE,4135,BRO,N11106,0,52,308
2011/12/25,10,4,1004,1304,-1,-1,XE,4253,JAX,N11109,0,96,817
2011/12/25,15,7,1507,1812,-3,-6,XE,4350,LEX,N11106,0,98,828
2011/12/25,18,27,1827,1939,-8,-12,XE,4369,MFE,N11113,0,55,316
2011/12/25,12,56,1256,1429,-4,-4,XE,4438,VPS,N11121,0,71,528
2011/12/26,NA,NA,NA,NA,NA,NA,XE,4107,ATL,N10156,1,NA,689
2011/12/26,18,5,1805,2056,15,6,XE,4108,ATL,N11107,0,90,689
2011/12/26,21,23,2123,2221,-7,-8,XE,4142,BTR,N10156,0,37,253
2011/12/26,15,35,1535,1829,0,-23,XE,4248,IND,N11113,0,99,844
2011/12/26,7,22,722,953,-3,-28,XE,4262,MSP,N11106,0,129,1034
2011/12/26,10,36,1036,1358,1,-11,XE,4690,GRR,N11121,0,120,1042
2011/12/26,7,26,726,1115,-4,-12,XE,4702,IAD,N11113,0,149,1190
2011/12/27,14,26,1426,1725,1,4,XE,4232,JAX,N11106,0,102,817
2011/12/27,20,9,2009,2305,34,30,XE,4342,JAX,N11119,0,100,817
2011/12/27,21,10,2110,2212,-5,-15,XE,4357,LRD,N10156,0,49,301
2011/12/27,10,35,1035,1425,10,19,XE,4408,RIC,N11121,0,139,1157
2011/12/27,14,48,1448,1738,42,31,XE,4433,TYS,N11119,0,97,771
2011/12/27,7,10,710,1105,0,5,XE,4598,DTW,N10156,0,151,1075
2011/12/27,14,9,1409,1737,17,6,XE,4657,RIC,N10156,0,132,1157
2011/12/28,14,31,1431,1722,6,1,XE,4232,JAX,N11113,0,94,817
2011/12/28,12,20,1220,1415,0,-6,XE,4256,MCI,N11107,0,97,643
2011/12/28,7,41,741,1028,-4,-13,XE,4262,MSP,N10156,0,149,1034
2011/12/28,10,8,1008,1346,-7,-15,XE,4398,PIT,N11109,0,139,1117
2011/12/28,16,13,1613,1739,-7,-15,XE,4439,VPS,N11119,0,66,528
2011/12/28,10,46,1046,1415,11,6,XE,4690,GRR,N11121,0,134,1042
2011/12/28,17,34,1734,2121,14,13,XE,4704,PIT,N11106,0,139,1117
2011/12/29,7,43,743,1105,-2,24,XE,4262,MSP,N11119,0,151,1034
2011/12/29,13,44,1344,1547,269,272,XE,4562,MCI,N11106,0,93,643
2011/12/29,13,21,1321,1638,146,138,XE,4698,CHS,N11121,0,119,925
2011/12/30,14,22,1422,1719,-3,-2,XE,4232,JAX,N11113,0,98,817
2011/12/30,15,35,1535,1909,0,1,XE,4275,RDU,N11107,0,130,1042
2011/12/30,11,14,1114,1141,9,6,XE,4323,HOB,N11107,0,73,501
2011/12/30,18,31,1831,2145,16,9,XE,4634,CLT,N11121,0,116,912
2011/12/31,14,8,1408,1705,2,-1,XE,4433,TYS,N11107,0,98,771
